GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
codiceHW1,CodiceMedie,Student,0,94,0,14,0,16,0,10,0,3
codiceHW1,CodiceMedie,MedieVoti,3,171,0,4,1,18,1,3,1,1
